           k      D^2_lin
1.499620E-04 1.042017E-10
1.514690E-04 1.084093E-10
1.529920E-04 1.127894E-10
1.545290E-04 1.173424E-10
1.560820E-04 1.220810E-10
1.576510E-04 1.270122E-10
1.592350E-04 1.321400E-10
1.608360E-04 1.374771E-10
1.624520E-04 1.430274E-10
1.640850E-04 1.488046E-10
1.657340E-04 1.548135E-10
1.673990E-04 1.610613E-10
1.690820E-04 1.675679E-10
1.707810E-04 1.743337E-10
1.724980E-04 1.813746E-10
1.742310E-04 1.886964E-10
1.759820E-04 1.963144E-10
1.777510E-04 2.042439E-10
1.795370E-04 2.124877E-10
1.813420E-04 2.210718E-10
1.831640E-04 2.299944E-10
1.850050E-04 2.392833E-10
1.868640E-04 2.489421E-10
1.887420E-04 2.589924E-10
1.906390E-04 2.694521E-10
1.925550E-04 2.803309E-10
1.944900E-04 2.916473E-10
1.964450E-04 3.034240E-10
1.984190E-04 3.156755E-10
2.004140E-04 3.284257E-10
2.024280E-04 3.416838E-10
2.044620E-04 3.554755E-10
2.065170E-04 3.698278E-10
2.085930E-04 3.847622E-10
2.106890E-04 4.002931E-10
2.128060E-04 4.164504E-10
2.149450E-04 4.332658E-10
2.171050E-04 4.507512E-10
2.192870E-04 4.689497E-10
2.214910E-04 4.878836E-10
2.237170E-04 5.075806E-10
2.259660E-04 5.280730E-10
2.282370E-04 5.493927E-10
2.305300E-04 5.715591E-10
2.328470E-04 5.946359E-10
2.351870E-04 6.186348E-10
2.375510E-04 6.436143E-10
2.399390E-04 6.695980E-10
2.423500E-04 6.966266E-10
2.447860E-04 7.247477E-10
2.472460E-04 7.539980E-10
2.497310E-04 7.844324E-10
2.522400E-04 8.160827E-10
2.547760E-04 8.490337E-10
2.573360E-04 8.832948E-10
2.599220E-04 9.189423E-10
2.625350E-04 9.560431E-10
2.651730E-04 9.946229E-10
2.678380E-04 1.034767E-09
2.705300E-04 1.076524E-09
2.732490E-04 1.119976E-09
2.759950E-04 1.165165E-09
2.787690E-04 1.212196E-09
2.815700E-04 1.261097E-09
